steps,return
30,-4716.164271833356
31,-4981.491461849296
32,-4877.302286030964
33,-4944.929943995895
34,-4865.703369698085
35,-4833.657887774357
36,-4853.263976085232
37,-4704.456839066406
38,-4365.132618373788
39,-4817.517545568627
40,-4839.240711660409
41,-4543.612298867715
42,-4649.241917849419
43,-4786.186780161347
44,-4475.057319811761
45,-4256.84328857599
46,-4165.154275569204
47,-4111.130249395678
48,-4111.137640854886
49,-4350.922483773821
50,-4128.564379734032
51,-4023.8474360669156
52,-3288.937669399215
53,-3729.9583023153064
54,-3803.5044894696402
55,-3685.4402469270613
56,-3615.672042598972
57,-4089.9837396274525
58,-3177.597163972469
59,-3563.2114962419037
60,-3457.338054635522
61,-3363.096531582291
62,-3587.710085734671
63,-3104.5545082143435
64,-3629.5506700533915
65,-3232.002387110872
66,-3732.3186192210346
67,-3173.979854945666
68,-3271.1187892949333
69,-3549.047152869102
70,-3669.4054841293823
71,-3553.265468195099
72,-3718.132058640178
73,-3272.6673157282407
74,-3332.908933560507
75,-3124.4315675230414
76,-3111.8693037620847
77,-3074.647725315075
78,-3036.451323624688
79,-2950.0563118203086
80,-3027.8723567694
81,-3037.9239841809326
82,-3031.3198029723967
83,-3012.04950585661
84,-2978.4595044062276
85,-2921.7445397138217
86,-2946.2185309994125
87,-3008.124355313281
88,-2964.0915982283927
89,-3026.6554090092523
90,-2991.9408369968837
91,-3010.4582269040106
92,-3029.4652728927845
93,-3028.1212412182626
94,-3028.014045232047
95,-3060.558567271432
96,-3041.055763757884
97,-3036.6959529568157
98,-3031.0315548106823
99,-3061.5170972167475
100,-3059.2793171319386
101,-2900.722846723221
102,-2971.372666512953
103,-2944.8057278145848
104,-2912.545711762279
105,-2863.276237509579
106,-2867.6958142728568
107,-2877.1345193997004
108,-2793.0468444570593
109,-2734.865524698973
110,-2789.328270289425
111,-2748.6829519829903
112,-2721.98831950357
113,-2799.859185456267
114,-2682.0906753192835
115,-2818.473478577514
116,-2716.979036852205
117,-2723.4580758921898
118,-2789.465619139312
119,-2761.5560018328283
120,-2787.0316034138614
121,-2778.3564621432693
122,-2743.750385872219
123,-2768.731830425639
124,-2827.7637800422613
125,-2832.469379880165
126,-2814.03685841677
127,-2818.7537232334157
128,-2849.331427659627
129,-2789.614043768505
130,-2861.890553907823
131,-2801.835417947987
132,-2903.1440497680273
133,-2828.9461433513934
134,-2918.4740196051075
135,-2947.8591340471453
136,-2894.168713957663
137,-2944.3348215363317
138,-2916.8643925274973
139,-3071.72153443617
140,-2896.503191166217
141,-3100.878383703693
142,-3014.376268079012
143,-3079.5605144493225
144,-3062.8818774502142
145,-3210.7400223812306
146,-3157.515417825502
147,-3240.937382121863
148,-3214.327536038721
149,-3297.468784307033
150,-3278.1139807816667
151,-3248.373969442621
152,-3261.3320614178206
153,-3372.267010333347
154,-3327.406978307977
155,-3468.6257951952643
156,-3275.748188558964
157,-3494.9263650744415
158,-3399.3291206921062
159,-3598.9163605331323
160,-3456.844978235062
161,-3657.110701771789
162,-3446.940249048057
163,-3712.4179348315715
164,-3449.7567168979463
165,-3599.1761334592943
166,-3493.9251499716916
167,-3664.721359207899
168,-3515.9140537037147
169,-3634.799962093595
170,-3554.8521498501746
171,-3822.7921035763634
172,-3743.9734007849947
173,-3721.0413564206533
174,-3674.8108838164676
175,-3700.0770039226986
176,-3933.0864665607255
177,-3648.886079309764
178,-3822.0705384463404
179,-3612.3307519266286
180,-3793.526317595253
181,-3772.9595784260177
182,-3677.4956719001384
183,-3681.3395848880305
184,-3666.1220110892937
185,-3703.201360289198
186,-3724.231718170378
187,-3572.688560325299
188,-3729.648427583732
189,-3735.197365935453
190,-3761.987587014882
191,-3935.818388339503
192,-3877.836291494723
193,-4099.869159302161
194,-3790.952777471213
195,-3974.5542951319926
196,-3839.0985054749704
197,-4145.010022290278
198,-3978.026839149568
199,-4369.782659968624
200,-3850.9831317227618
201,-4100.964967260484
202,-3900.5504283552996
203,-4167.762211368816
204,-4688.997397783668
205,-4175.860673159253
206,-3894.0779782059913
207,-4202.484554152822
208,-4049.020869491842
209,-4104.257382281109
210,-4377.314221783475
